,Residential investment,House prices,Mortgage interest rate,General Prices,Inflation,General inflation,Own interest rate,Real mortgage interest rate,$g_{I_h}$
1987-03-31,246.672,1.012064762142902,0.09029999999999999,112.2,,,,,
1987-06-30,249.69299999999998,1.032803025567294,0.1035,113.5,0.02049104385423095,0.01158645276292325,0.08134217016962486,0.09086079295154192,0.012247032496594645
1987-09-30,249.96900000000002,1.0524160780146277,0.11019999999999999,114.7,0.018990119085447787,0.010572687224669641,0.08951007395087784,0.09858500435919804,0.0011053573788613047
1987-12-31,252.825,1.0708726636244295,0.1061,115.6,0.017537346678150323,0.007846556233652935,0.08703626811435594,0.0974884948096888,0.011425416751676964
1988-03-31,250.115,1.0885634806526223,0.0999,116.5,0.016520000583745587,0.007785467128027745,0.08202494723996856,0.09140291845493564,-0.01071887669336491
1988-06-30,255.51,1.107926486216165,0.10400000000000001,118.0,0.017787667791256512,0.012875536480686733,0.08470561683640421,0.08996610169491537,0.02157007776422848
1988-09-30,257.495,1.1290710758267175,0.1042,119.5,0.019084830874263492,0.012711864406779627,0.08352118150234555,0.09033974895397501,0.007768776173143976
1988-12-31,261.681,1.1482309182971806,0.10769999999999999,120.7,0.01696956275001038,0.010041841004184038,0.08921647271786903,0.09668724109362059,0.016256626342258995
1989-03-31,260.884,1.168750390698256,0.1119,122.2,0.017870510255468153,0.012427506213753103,0.09237863637579191,0.09825147299508985,-0.003045693038470354
1989-06-30,255.792,1.1796430580733888,0.1007,124.1,0.009319926189393701,0.015548281505728179,0.09053628234171929,0.08384802578565687,-0.019518253323316137
1989-09-30,255.498,1.1886447458898544,0.1016,124.8,0.007630857279122383,0.005640612409347323,0.09325750798722043,0.0954211538461538,-0.0011493713642334313
1989-12-31,251.88400000000001,1.1987560167531413,0.0978,126.3,0.008506554122457599,0.012019230769230838,0.08854027325111447,0.08476199524940609,-0.01414492481350138
1990-03-31,256.004,1.2065074701506533,0.10220000000000001,128.6,0.006466247751153675,0.01821060965954069,0.09511869122561611,0.08248724727838264,0.016356735640215447
1990-06-30,246.896,1.2073357504532098,0.1015,129.9,0.0006865107121576397,0.010108864696734221,0.10074432722801108,0.09047652040030774,-0.03557756910048293
1990-09-30,234.507,1.2008814152653622,0.10220000000000001,132.5,-0.00534593230211633,0.02001539645881434,0.10812395564925437,0.08057192452830209,-0.0501790227464195
1990-12-31,221.268,1.1904888416578105,0.0968,134.2,-0.008654121444002127,0.012830188679245236,0.10637470102524405,0.08290611028315942,-0.05645460476659547
1991-03-31,210.28900000000002,1.1810026880040005,0.09519999999999999,134.8,-0.007968284390301505,0.0044709388971686526,0.1039969617573111,0.09032522255192843,-0.04961856210568172
1991-06-30,217.78799999999998,1.187535162843033,0.0967,136.0,0.00553129548762743,0.008902077151335286,0.09066719745222929,0.0870232352941176,0.0356604482402787
1991-09-30,226.483,1.1905826092392324,0.0892,137.0,0.0025661946623152243,0.007352941176470562,0.08641205518291462,0.0812496350364964,0.03992414641761721
1991-12-31,230.055,1.1883790710758269,0.08349999999999999,138.2,-0.0018508066103986032,0.008759124087591053,0.08550906735751274,0.07409189580318398,0.01577160316668369
1992-03-31,242.362,1.1919422391698442,0.0898,139.1,0.0029983430209619133,0.0065123010130245795,0.08654217385603813,0.08274881380301946,0.05349590315359376
1992-06-30,253.15900000000002,1.1928486591235856,0.0843,140.1,0.0007604562737644205,0.007189072609633307,0.08347606382978712,0.07656052819414705,0.044549062971918074
1992-09-30,255.113,1.191442145402263,0.0802,141.1,-0.0011791216853578312,0.007137758743754441,0.08147519084970734,0.07254443656980869,0.007718469420403773
1992-12-31,268.33099999999996,1.1982715509157966,0.0814,142.3,0.005732049634040726,0.008504606661942082,0.0752366899250081,0.07228067463106091,0.05181233414212505
